id,Song-Name,Artists,Genre,Album/Movie,User-Rating
2236,Dagabaaz Tori Batiyan,Lata Mangeshkar, Romantic,Gunga Jumna,8.5
2237,Teri Yaad Dilse Bhulane Chala Hoon,Mukesh, Sad,Hariyali Aur Rasta,9
2238,I Don’t Luv U,"Monali Thakur, Neuman Pinto", Dance,I Don't Luv U,9.2
2239,Meter Down,"Adnan Sami, Merriene, Nimosa", Dance,Taxi No. 9211,9.4
2240,Zor Ka Jhatka Haye (Remix),"Master Saleem, Richa Sharma", Dance,Action Replayy,9.2
2241,Dil Apna Aur Preet Parai,Lata Mangeshkar, Sad,Dil Apna Aur Preet Parai,9
2242,Ali Ali – Qawwali,"Krishna Beura, Shraddha Pandit, Vijayta Pandit", Devotional,Deewaar,9.1
2243,Kudi Pataka Driver,"Hard Kaur, Mika Singh", Dance,Challo Driver,8.9
2244,Dil Jalon Ka Dil Jala Ke,Asha Bhosle, Dance,Zanjeer,9.1
2245,Teri Choodiyan Da Crazy Crazy Sound,Wajid Khan, Dance,Ishkq In Paris,8.3
2246,Kubool Kar Le,"Amit Sana, Monali Thakur, Prajakta Shukre, Rahul Vaidya, Suzanne, Udit Narayan", Dance,Jaan-E-Mann,9
2247,Gaaye Jaa (Male),Mohammed Irfan, Dance,Brothers,9.7
2248,Sing Raja,"Daler Mehndi, Sonu Kakkar", Dance,Joker,9.4
2249,Alif Zaber Aa,Mohammed Rafi, Dance,Love In Shimla,9.1
2250,Apni Bhi Kya Zindagi Hai,Mukesh, Sad,Aas Ka Panchhi,8.7
2251,Dil Ashkon Mein,"Sonu Kakkar, Tony Kakkar", Romance,Fever,9.4
2252,Jaana Hai,Zubeen Garg, Dance,Dum Maaro Dum,9.5
2253,Badan Juda Hote Hain,"Falguni Pathak, Kumar Sanu", ,Koyla,8.8
2254,Naiyn Tere Zuke Zuke (Sad),Pamela Jain, Dance,Khelein Hum Jee Jaan Sey,9.2
2255,Daagh Na Lag Jaye,"Asha Bhosle, Mukesh", Dance,Mera Naam Joker,8.6
2256,Mahi Mennu Nahi Karna,Labh Janjua, Dance,Dev D,9.5
2257,Khullam Khulla Pyaar Karen,"Jojo Mukherjee, Sunidhi Chauhan", Dance,Khullam Khulla Pyaar Karen,8.8
2258,Babbe Mast,"ALTAMAS FARIDI, Sonu Kakkar", Dance,What The Fish,8.7
2259,Gori Zara Hans De Tu Hans De,Mohammed Rafi, Dance,Asli Naqli,9.3
2260,Mat Ro Mata Lal Tere,Manna Dey, Sad,Bandini,9.2
2261,Bismillah,Kailash Kher, Sad,Aazaan,9.2
2262,Shukriya Zindagi Shukriya Zindagi,Shafqat Amanat Ali, Romantic,Aashayein,9.7
2263,O Janewale Ho Sake To Laut Ke Aana,Mukesh, Sad,Bandini,9.2
2264,Aanchal Men Saja Lena,Mohammed Rafi, Romantic,Phir Wohi Dil Laya Hoon,9.5
2265,Tum Paas Aa Rahe Ho,"Jagjit Singh, Lata Mangeshkar", Romantic,Veer Zaara,9.6
2266,Badle Badle Mere Sarkar,Lata Mangeshkar, Sad,Chaudhvin Ka Chand,8.8
2267,Ab Ke Baras Bhejo Bhaiya,Asha Bhosle, Sad,Bandini,9.4
2268,Din Dhal Gaya Hai,"Alka Yagnik, Udit Narayan", Dance,Dil Tera Deewana,8
2269,Baadal,"Adnan Sami, Alka Yagnik", Dance,Yuva,9.6
2270,Chori Chori Chori Se,"Amitabh Bachchan, Jaspinder Narula, Sonu Nigam", Dance,Sooryavansham,8.7
2271,Haseenon Ki Sawari Hai,"Mohammed Rafi, Suman Kalyanpur", Dance,Love In Shimla,9.1
2272,Kaisi Hai Ye Udaasi,Kailash Kher, Sad,Karthik Calling Karthik,9.5
2273,Haan Bhai Haan,"Amit Kumar, Anuradha Paudwal", Dance,Toofan,9.1
2274,Nasha Nasha,Neha Bhasin, Dance,Daddy Cool,9.2
2275,Apni To Har Aah,Mohammed Rafi, Sad,Kala Bazar,9.5
2276,Ho Maine Pyar Kiya,Lata Mangeshkar, Dance,Jis Desh Mein Ganga Behti Hai,8.6
2277,Chal Jhoothi,"Shraddha Pandit, Udit Narayan", Dance,Jis Desh Mein Ganga Rehta Hai,7.4
2278,Kaise Kahoon Main Baat Jiya Ki,Asha Bhosle, Romantic,Gehra Daag,8.3
2279,Meri Jaaniye,"Monali Thakur, Shaan", Romantic,I Me Aur Main,9.2
